Sample_ID,Aggressive_Label,BC__module_PanGyn_TF_stress_response,CD4_T__module_PanGyn_TF_stress_response,CD8_T__module_PanGyn_TF_stress_response,EC__module_PanGyn_TF_stress_response,Endothelial__module_PanGyn_TF_stress_response,Fibroblasts__module_PanGyn_TF_stress_response,Macrophages__module_PanGyn_TF_stress_response,Monocytes__module_PanGyn_TF_stress_response,Myofibroblasts__module_PanGyn_TF_stress_response,NK_Cells__module_PanGyn_TF_stress_response,Normal_Epithelial__module_PanGyn_TF_stress_response,OC__module_PanGyn_TF_stress_response,Tregs__module_PanGyn_TF_stress_response,BC__module_PanGyn_immune_remodeling,CD4_T__module_PanGyn_immune_remodeling,CD8_T__module_PanGyn_immune_remodeling,EC__module_PanGyn_immune_remodeling,Endothelial__module_PanGyn_immune_remodeling,Fibroblasts__module_PanGyn_immune_remodeling,Macrophages__module_PanGyn_immune_remodeling,Monocytes__module_PanGyn_immune_remodeling,Myofibroblasts__module_PanGyn_immune_remodeling,NK_Cells__module_PanGyn_immune_remodeling,Normal_Epithelial__module_PanGyn_immune_remodeling,OC__module_PanGyn_immune_remodeling,Tregs__module_PanGyn_immune_remodeling,BC__module_PanGyn_matrisome_mechanical,CD4_T__module_PanGyn_matrisome_mechanical,CD8_T__module_PanGyn_matrisome_mechanical,EC__module_PanGyn_matrisome_mechanical,Endothelial__module_PanGyn_matrisome_mechanical,Fibroblasts__module_PanGyn_matrisome_mechanical,Macrophages__module_PanGyn_matrisome_mechanical,Monocytes__module_PanGyn_matrisome_mechanical,Myofibroblasts__module_PanGyn_matrisome_mechanical,NK_Cells__module_PanGyn_matrisome_mechanical,Normal_Epithelial__module_PanGyn_matrisome_mechanical,OC__module_PanGyn_matrisome_mechanical,Tregs__module_PanGyn_matrisome_mechanical,BC__module_PanGyn_metabolic_reprogramming,CD4_T__module_PanGyn_metabolic_reprogramming,CD8_T__module_PanGyn_metabolic_reprogramming,EC__module_PanGyn_metabolic_reprogramming,Endothelial__module_PanGyn_metabolic_reprogramming,Fibroblasts__module_PanGyn_metabolic_reprogramming,Macrophages__module_PanGyn_metabolic_reprogramming,Monocytes__module_PanGyn_metabolic_reprogramming,Myofibroblasts__module_PanGyn_metabolic_reprogramming,NK_Cells__module_PanGyn_metabolic_reprogramming,Normal_Epithelial__module_PanGyn_metabolic_reprogramming,OC__module_PanGyn_metabolic_reprogramming,Tregs__module_PanGyn_metabolic_reprogramming,BC__module_PanGyn_top65_core,CD4_T__module_PanGyn_top65_core,CD8_T__module_PanGyn_top65_core,EC__module_PanGyn_top65_core,Endothelial__module_PanGyn_top65_core,Fibroblasts__module_PanGyn_top65_core,Macrophages__module_PanGyn_top65_core,Monocytes__module_PanGyn_top65_core,Myofibroblasts__module_PanGyn_top65_core,NK_Cells__module_PanGyn_top65_core,Normal_Epithelial__module_PanGyn_top65_core,OC__module_PanGyn_top65_core,Tregs__module_PanGyn_top65_core
A10,Aggressive,,0.191900881,0.158569787,,0.344387987,0.329942019,0.327376488,0.354336755,0.402244295,0.169536901,0.395594359,0.372148018,0.276397209,,0.274245695,0.232251951,,0.029612561,0.019310427,0.375553167,0.335619623,0.017232106,0.227943469,0.082277359,0.08493207,0.466005773,,0.00968175,0.005150069,,0.234621694,0.429232647,0.01886595,0.048986689,0.448754036,0.002876041,0.107768531,0.100705015,0.011480355,,0.24605857,0.21127208,,0.383814919,0.4464174,0.237143347,0.352436167,0.252203348,0.245880329,0.558612634,0.502082453,0.220687025,,0.215049587,0.181020576,,0.230759026,0.25248659,0.297899097,0.319147493,0.24029423,0.190088446,0.29076346,0.27144837,0.30789357
C1-1,LessAggressive,0.34862778,,,,,0.13342044,,0.273885191,,,0.175464528,,,0.020542002,,,,,0,,0.023821694,,,0.008926709,,,0.051516139,,,,,0.079827604,,0.037259052,,,0.032776443,,,0.225454456,,,,,0.071374251,,0.147651468,,,0.123517528,,,0.180475535,,,,,0.068853862,,0.138312027,,,0.092975154,,
B10,LessAggressive,0.406833102,0.282449458,0.23245872,,0.359979978,0.470316137,0.349212107,0.381269122,0.493052526,0.226196185,0.463736521,,0.259403393,0.047416396,0.266937303,0.19855758,,0.024525287,0.023039855,0.47523307,0.374523829,0.016755938,0.243015825,0.053554619,,0.361161547,0.025872038,0.010014407,0.008046212,,0.246028076,1.164516382,0.040243036,0.049492714,0.558462893,0.009335392,0.025284517,,0,0.228957562,0.169002386,0.192155805,,0.249165167,0.229593117,0.241145983,0.225614763,0.139042419,0.180364746,0.211099056,,0.203169985,0.208914138,0.229123276,0.191687349,,0.208599026,0.327984564,0.343670693,0.317125939,0.259752669,0.202963543,0.227595247,,0.260218514
C1-2,Aggressive,0.306926236,,,,0.469380933,,,0.307792513,0.144749698,,0.248292465,,,0.023724171,,,,0,,,0.029606506,0.009588566,,0.013990152,,,0.084401555,,,,0.241231183,,,0.033215789,0.014099162,,0.071327985,,,0.208054102,,,,0.210724097,,,0.22992576,0.077483456,,0.17538557,,,0.166401108,,,,0.230500951,,,0.16843857,0.071410153,,0.134468931,,
A11,Aggressive,,0.17679019,0.182606368,,0.294480307,0.250220419,0.357891946,0.328447968,0.222788925,0.193140646,,,0.230993271,,0.260383106,0.243296984,,0.030908074,0.03097731,0.635798655,0.665566776,0.028103853,0.221223817,,,0.235016307,,0.002507185,0.002066048,,0.267525601,0.362087538,0.042601768,0.028268747,0.304747062,0.018965429,,,0.00740466,,0.156390692,0.176140772,,0.312656672,0.187830213,0.250820292,0.3016129,0.162108858,0.230153279,,,0.164246668,,0.18620166,0.18612313,,0.202363433,0.170490242,0.405710127,0.414660297,0.149329714,0.194402582,,,0.198428537
C1-3,Aggressive,0.33373212,0.267890624,,,,,0.284414966,0.285096991,0.397341293,0.227743252,0.288544759,,,0.021091066,0.443102515,,,,,0.514990371,0.050859935,0,0.113871626,0.014960464,,,0.059490364,0,,,,,0.10575566,0.051989366,0,0,0.039977823,,,0.230672447,0.224181359,,,,,0.059154053,0.196590259,0.07725689,0.201465185,0.20650803,,,0.177178727,0.29641846,,,,,0.304459375,0.162994136,0.156049066,0.161172148,0.152386023,,
B11,LessAggressive,0.29813943,0.140142482,0.096263039,,0.303004745,0.30536742,0.274736192,0.349672723,0.280013108,0.158370326,0.300585687,,0.363788721,0.049313368,0.197818528,0.081670475,,0.026506058,0.012445994,0.203433552,0.269578952,0.027307748,0.181336913,0.0405999,,0.196792968,0.026002361,0.004986293,0,,0.192283106,0.760808075,0.017630228,0.025021175,0.303935676,0.010510336,0.028491415,,0,0.362819312,0.098034125,0.187118699,,0.287473351,0.311947252,0.156605566,0.204245937,0.163728182,0.117275975,0.368703007,,0.12643461,0.197908917,0.139653302,0.100384829,,0.19184001,0.245074942,0.202147044,0.262278658,0.16954554,0.14462948,0.197097786,,0.223646597
A1,LessAggressive,,0.247530085,0.209974403,0.466488143,0.532155242,0.575947779,0.402239442,0.38370949,0.583032014,0.198491502,0.356570538,,0.275044608,,0.309006436,0.264646808,0.032554164,0.032171922,0.020960185,0.614761142,0.572085065,0.00797253,0.328432299,0.131716664,,0.309740107,,0.009059382,0.011496873,0.088937858,0.14379601,0.578446892,0.028982269,0.030309518,0.208896848,0.017017412,0.022866741,,0.005836792,,0.139250977,0.159445619,0.249629506,0.262222966,0.196527394,0.311786136,0.306340914,0.163571348,0.136891309,0.317187708,,0.125969004,,0.225614753,0.200893264,0.23471975,0.265403068,0.303914164,0.424894259,0.402270211,0.261121741,0.21539906,0.238326866,,0.232656404
C1-4,Aggressive,0.229419314,,,,,,,0.21239752,0.238905319,,0.203146744,,,0.024773378,,,,,,,0.024232181,0.030611468,,0.016497412,,,0.067022802,,,,,,,0.042989774,0.070944285,,0.043779401,,,0.225396195,,,,,,,0.190389473,0.167008467,,0.204410943,,,0.141211065,,,,,,,0.125776691,0.135317875,,0.122643604,,
B12,LessAggressive,0.368061254,0.18185468,0.128286021,,0.317894406,0.387192292,0.319860348,0.38928061,0.379135476,0.180197628,0.364060756,,0.449069453,0.115255102,0.274532565,0.172404149,,0.025090034,0.020468512,0.344320203,0.459880245,0.011547394,0.263116557,0.113804075,,0.576283074,0.039646005,0.009230863,0.01046397,,0.243890351,1.049986442,0.040020168,0.01058564,0.358876358,0.011527248,0.041988039,,0,0.28318661,0.193953898,0.15639005,,0.320130991,0.426532495,0.289577373,0.238573392,0.21753549,0.223472552,0.27459495,,0.313715586,0.231316587,0.201133731,0.138641975,,0.207902878,0.326477532,0.296627378,0.349164117,0.214875778,0.202623583,0.227885442,,0.425560165
