pathway,pval,padj,log2err,ES,NES,size,leadingEdge
DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP,4.27352404182656e-09,1.33462155826243e-05,0.761460801445585,-0.692489599677686,-1.21996989865912,242,TBRG4|HDGFL3|FCGR2A|NDUFC2|CDC16|NIPSNAP2|KEAP1|DUSP12|ACO1|CSNK2A1|PKIG|ATP7B|POLR2K|MRPS15|PRKAR1A|SDHD|EIF3M|NBN|DECR1|YES1|FAM8A1|NCOA1|RAB6A|GARS1|HBQ1|HOXA9|CFH|SELENOF|HS2ST1|DDX10|UBAC1|RALBP1|TRA2A|PSMD8|ABCD3|HBD|MXI1|PPP2R1B|PIM1|AMD1|CAST|RANBP9|GMDS|PSMA2|AHCYL1|XPO1|REST|EIF1B|CSNK1A1|COPA|PRKAR2B|SLC2A10|PSMD3|TAX1BP1|LSM8|HK1|GALNT2|PTGS1|GOSR2|STAU1|API5|POLD2|BCKDHB|ALDH5A1|GNL2|ZPR1|PSMF1|SLC18A2|PYROXD1|PBX3|TARS1|ORC5|MSH6|MAP4K4|CITED2|CCT6A|AZIN1|ITPA|GAR1|FKBP5|PDCD10|PMPCB|ZNF277|MEIS1|BLVRB|ZNF146|RAP2B|EMP3|ATXN1|NUDT21|HOXA10|MAGOH|TAF7|GNAI3|HDC|SF3A3|FOXN3|VAPA|NLK|BLMH|ARF3
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP,1.23348847358339e-08,1.74306610938178e-05,0.747739663149885,-0.68084680990679,-1.19893617953853,265,CLGN|POGK|ZIK1|HMGB1P4|MACROH2A2|RCN3|SMC6|PPP2R2D|SIRPAP1|C16orf87|ANKRD46|OSBPL3|CSNK2A1|GINS3|PINX1|CRYZL1|METTL4|NDC80|POLR2K|MRPS15|LONRF1|EIF3M|NBN|XPO5|EIF2A|SEH1L|RADX|AMZ2|DYNC1I1|HAUS8|UGT3A1|FAM91A1|UBE2S|HS2ST1|ISOC1|NSFL1C|NUP205|PAQR5|PPP2R1B|TPRKB|HOOK1|EDEM3|UMPS|NIFK|TSN|VAMP3|RANBP9|TRMT61B|FBXO43|BLTP3A|SLC1A3|CTPS1|CYRIB|UBR5|BUB1|ARPC5|DYRK3|DCDC2|ATP23|CEP85|ZNF232|LPAR1|CHORDC1|FAR1|IMMP1L|NETO2|SLFN11|ENTPD3|SFRP2|HSPA8|GNL2|EXO5|ZPR1|CWF19L2|BRIX1|ZW10|LOXHD1|EIF5B|ORC5|MSH6|LIN9|RHEB|SDHC|NUF2|PLXDC2|MELK|FASTKD3|NUP155|ERCC4|CCNC|NDUFAF4|TUBE1|CYB5R4|DENND2C|DEPDC1|NUDT21|PTPRF|MAGOH|NDC1|GSTM4|CDCA8|PWWP3B|NFYC|CCK|TMEM38B|GINS2|BLMH
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP,1.67441509066453e-08,1.74306610938178e-05,0.73376198835648,-0.719480297705203,-1.26158162452408,143,HOXB7|CREB5|SMC6|IDS|HYCC1|MRPS17|NXPH4|ANXA2P2|RLF|LCORL|NDC80|RBAK|TTC3|TPM4|RSF1|NBN|QSOX1|FBXO11|POLH|QSER1|RARS2|DKK3|S100A11P1|UBE2S|GNG12|ZNF131|MIOS|NIFK|PLCB1|CAST|ZNF780B|MLF1|NIPBL|BCLAF1|STK38|TMEM30A|CSNK1A1|COPA|LINC00662|TNFRSF10B|RUNX1|ZIC1|INHBE|FAR1|API5|PGM3|ELOVL6|GNL2|ZNF549|UGGT2|BRIX1|TARS1|EIF5B|ORC5|MSH6|LIN9|NUF2|PSPH|CCT6A|MELK|TRIO|SERPINH1|ZNF146|TPBG|MFAP3|DEPDC1|OGFOD1|NUDT21|SIKE1|NDC1|GNAI3|WDR17|GTPBP10|AKIRIN2|SRSF6
FISCHER_DREAM_TARGETS,6.02991282790668e-08,4.70785444038814e-05,0.704975715167238,-0.733934070993053,-1.28151291959007,114,TBRG4|SMC6|MARS1|PPAN-P2RY11|TMEM109|GINS3|LCORL|METTL4|NDC80|CDKN2D|GGCT|GARS1|MTF2|CCNE1|ORC3|HAUS8|UBE2S|HS2ST1|DDX10|NOP58|NUP205|RBM8A|PIM1|TRIM45|AMD1|NIPBL|BCL2L12|THEM4|BCLAF1|H2BC4|H2AC6|ZNF551|CCT5|BUB1|HAUS7|PCF11|ATP23|CEP85|RUNX1|FAR1|POLD2|SLFN11|HSPA8|ARHGEF39|PBX3|BRIX1|ZW10|TARS1|MSH6|LIN9|RHEB|NUF2|AZIN1|MELK|FKBP5|NUP155|FANCE|ZNF146|DEPDC1|NDC1|CDCA8|RAD9A|ZNF695|THOC1|GINS2|TUBA1C|POU2F1
HOUNKPE_HOUSEKEEPING_GENES,2.13931551262452e-07,0.000133621646918528,0.690132458796796,-0.72095925168711,-1.25970652965166,121,BRD3|FAM32A|RBM17|CDC16|MRPS17|KEAP1|RBMX2|CSNK2A1|DCTN2|MYCBP2|POLR2K|EIF4A3|PRKAR1A|EIF3M|SF3B2|RAB6A|EIF3G|PRPF18|RARS2|LMAN2|UBAC1|RALBP1|B4GALT7|PSMD8|TPP2|LAMP2|RBM8A|PABIR1|ZRANB2|SEC62|NIFK|TSN|RANBP9|PSMA2|FAM168A|KIAA0319L|JAK1|STK38|TMEM30A|MSL2|PPP6R1|EIF1B|CSNK1A1|COPA|PSMD3|TAX1BP1|GOSR2|STAU1|ZNF706|API5|MRPL44|POLD2|AGGF1|GNL2|PPT1|CALR|LRPPRC|EIF5B|SRSF11|RHEB|CCDC124|KDM2A|PMPCB|ZYG11B|MRPS9|ZNF146|NUDT21|DCTN3|MAGOH|SNX27|AKIRIN2|SF3A3|CHMP4B|IQSEC1|SRSF6
DODD_NASOPHARYNGEAL_CARCINOMA_DN,2.90182217348169e-07,0.000151039844129722,0.674962860011025,-0.672959842393833,-1.18662408075899,285,FKBP1A|HDGFL3|FCGR2A|TM6SF1|MRPS17|RBMX2|MARS1|GORAB|FPR3|DUSP12|ANKRD46|WDR43|GINS3|STX6|GAPDHP73|PINX1|FCGR3B|NDC80|CBX2|GGCT|EIF3M|NBN|FRAS1|XPO5|GARS1|QSER1|SEH1L|E2F3|MTF2|ORC3|ZNF618|CD163|LINC00622|NOP58|NUP205|ZNF131|LAMP2|THUMPD2|PRLR|UMPS|TIMM10|NIFK|RBMX|PSMA2|MRPL32|TRMT61B|RBM15|SLC1A3|CTPS1|CYRIB|SIGLEC1|UBXN2B|XPO1|MMD|BUB1|GBP4|HAVCR2|LAMA4|BGN|TNFRSF10B|LSM8|TLE1|GALNT2|ADO|GOSR2|DPY19L1|ZNF519|RAI14|BRIX1|LRPPRC|TARS1|LRRC40|ORC5|MSH6|LIN9|NUF2|DOCK4|PSPH|CCT6A|HIP1|MELK|FASTKD3|ZNF84|FKBP5|ZNF780A|NUP155|RRP15|NDUFAF4|ZNF146|CHROMR|DEPDC1|SIKE1|HOXA10|RPS19|GNLY|NDC1|OTULIN|RCN1|GTPBP10|AKIRIN2|SF3A3|THOC1|SNHG16|TMEM38B|ADA|GINS2|BLMH|ARF3|MTRR
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP,3.45252395105243e-07,0.000154031889987668,0.674962860011025,-0.725806449790049,-1.266401310937,113,HOXB7|SMC6|NXPH4|C16orf87|OSBPL3|BMS1|RBAK|RPL26L1|TPM4|OSMR|GGCT|NBN|POLH|GARS1|SEH1L|CCNE1|DKK3|UBE2S|PSMD8|ABCD3|NOP58|NIFK|TSN|ZNF780B|PSMA2|CTPS1|ASXL2|TMEM30A|AMELX|CSNK1A1|LINC00662|TNFRSF10B|ATP6V1C1|NETO2|POLD2|ELOVL6|AGGF1|DPY19L1|GNL2|RAI14|UGGT2|BRIX1|LRPPRC|TARS1|EIF5B|ORC5|MSH6|LIN9|PSPH|CCT6A|NUP155|ODF2L|SERPINH1|MRPS9|C5orf22|ZNF146|OGFOD1|NUDT21|SIKE1|SNX13|NDC1|GNAI3|GTPBP10|ASAH2|SRSF6|GINS2
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN,4.04558865506737e-07,0.000157929667122192,0.674962860011025,-0.70388078624239,-1.23476367174173,147,TBRG4|ZIK1|TRAF6|CFAP298|KEAP1|DUSP12|HSPBP1|TOMM5|CSNK2A1|KLF6|TXNIP|BBS9|PIGP|OSMR|YES1|SEH1L|MTF2|KRI1|TMEM161A|ORC3|DMAC2|COPS7A|UBE2S|ZSCAN22|ARGLU1|DDX10|CGNL1|NSFL1C|NOP58|PABIR1|PPP2R1B|TIMM10|VAMP3|MRPL32|IRF3|BCLAF1|ENOX2|YAE1|BET1|EPS8L3|RUNX1|LPCAT1|FAR1|POLD2|HSPA8|ZKSCAN4|ZNF519|RAI14|ACVR1B|TARS1|LRRC8C|SLC39A11|HIP1|KLHL20|SNHG5|PMPCB|ZNF277|ERCC4|RRP15|NDUFAF4|TPBG|PTPRF|APBB1|TSPAN2|FAAH|TBC1D19|NFYC|SNHG16|SRSF6|PCDHB18P|POU2F1
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN,4.72546499130408e-07,0.000163973635198252,0.674962860011025,-0.661127041459429,-1.16656142492336,347,MYO10|NR1I3|TBRG4|HNF4A|VCAM1|TRAF6|SMC6|KEAP1|FARP1|DUSP12|UBE2E2|IFT122|HSPBP1|TOMM5|CSNK2A1|TMEM109|ELF5|LCLAT1|CRYZL1|KLF6|EFHD2|MYORG|TXNIP|BBS9|PIGP|TTC3|RNF145|OSMR|TRIM44|YES1|SEH1L|MTF2|KRI1|TMEM161A|ORC3|ATP1A2|DMAC2|COPS7A|UBE2S|ZSCAN22|JARID2|ARGLU1|DDX10|CGNL1|ISOC1|GNG12|NSFL1C|ABCD3|NOP58|KIF3C|PEX7|PABIR1|PPP2R1B|MIOS|CAVIN3|EDEM3|LTBP1|BRAF|RAB18|TIMM10|VAMP3|SEC16B|SPHK1|MRPL32|PLPP3|NIPBL|IRF3|KIAA0319L|BCLAF1|ENOX2|YAE1|XPO1|UBR5|BET1|BGN|PCF11|MSRA|RUNX1|LPCAT1|GALNT2|KMT2E|ZNF706|ALDH1B1|FAR1|ELP4|POLD2|BCKDHB|ELOVL6|HSPA8|ZSCAN26|ZKSCAN4|ZNF519|RAI14|CA9|PRPF38B|MAGI1|WDR33|ACVR1B|TARS1|EIF5B|LRRC8C|CARMIL1|SLC39A11|NUF2|HIP1|KLHL20|TRIO|LOX|SNHG5|BOC|RASL12|PMPCB|ZNF277|ERCC4|RRP15|TTC5|NDUFAF4|NRIP1|TPBG|NUDT21|PTPRF|RPS19|APBB1|TSPAN2|FAAH|TBC1D19|CNTN1|FBXO21|NFYC|SNHG16|SRSF6|TUBA1A|PCDHB18P|POU2F1
ACEVEDO_LIVER_CANCER_UP,1.06954649190082e-06,0.000334019369420627,0.643551836150722,-0.687081806949667,-1.20759856881001,185,MYLIP|CDC16|NIPSNAP2|MARS1|SIMC1|DUSP12|SOWAHA|TMEM109|ZSCAN16|SUMF2|UBLCP1|EIF4A3|GSTA4|PRKAR1A|IRX3|RPL13A|C6orf62|CCDC167|ESM1|PRPF18|YPEL5|ORC3|LMAN2|UBE2S|JARID2|SNRPC|SELENOF|NUP205|CAVIN3|GPX7|RAB18|TIMM10|SNX2|KATNB1|RBMX|TRMT61B|SLC1A3|TDRD7|H2AC6|ASXL2|YAE1|XPO1|BET1|ARPC5|GBP4|EIF1B|CBLB|COPA|SLC2A10|CFHR5|RAMP1|KIDINS220|MRPL44|TSPAN14|PPT1|ZPR1|DESI2|CWF19L2|PLVAP|RHEB|SDHC|CYSTM1|TMEM14B|KLHL20|FKBP5|TRAPPC4|ZNF277|SERPINH1|SLCO2A1|CPQ|RRP15|BLVRB|DROSHA|MUC13|FRZB|ATXN1|TAF7|GNAI3|SLC25A46|TMEM38B|WIPI1|GINS2|TUBA1A|ARF3
