Macrophages,Fibroblasts,CD4_T,Unassigned,Plasma,Endothelial,OC,NK_Cells,Pericytes,Normal_Epithelial,Monocytes,Myofibroblasts,Adipocytes,CD8_T,B_Cells,Mast,Mesothelial,Tregs,Smooth_Muscle,BC,EC
B2M,COL1A2,MT-CO2,TMSB10,SSR4,THBS1,FTH1,GIMAP7,FTL,MALAT1,S100A9,PNOC,TXN,VCAM1,MT-ND3,LGALS3,MALAT1,IFI6,MT-ND3,FTH1,IER3
CTSL,ISG15,MGP,ACTG1,ISG15,ACKR1,HSP90AB1,MT-ND5,MT2A,MGP,HSP90AA1,TIMP1,TSC22D1,TMSB10,B2M,VIM,MT-CO1,EIF5,TMSB10,S100A6,MT-CO1
CXCL5,GADD45B,NDUFS5,ATP5F1E,SEC11C,CST3,NCL,TRAC,IER3,MT-CO1,KRT16,TMSB10,MAFB,VAMP5,ANKRD44,ZBTB16,KRT81,NFKB1,MYL6,MT-ND3,CXCL8
CTSS,HLA-C,SKA2,BNC1,MX1,OLFM1,DPP10,LY6E,MT-ND2,TMSB4X,HSP90AB1,GADD45B,PLCG2,S1PR4,SNX9,COBLL1,S100P,KLF6,KRT17,MT-ND1,UBC
C1QA,RARRES2,ATP5F1E,HMMR,CDKN1A,TUBB,FTL,HCST,YBX1,CHCHD2,MT-ND1,ACTG1,ID2,COTL1,BLK,VPS13C,FABP5,SLC25A6,RPL13A,MT-CO2,FTL
PSAP,CXCL10,GIMAP1,UBE2C,HLA-F,COL15A1,EPCAM,APOBEC3G,TXN,RPL13A,TPM2,RPS29,GLA,CLIC1,HLA-DQB1,DHRS9,XAGE3,PIM3,TXN,TMSB10,MT-CYB
CTSD,S100A10,LYAR,CDC20,GABARAPL1,SEC61G,CLDN3,TAF1D,IL24,MYL12B,LINC01405,ISG15,SMAP2,ATP5MG,REL,PIK3R1,HSPD1,REL,MT1X,TMSB4X,MT-ND1
HLA-E,HSPA1A,TUBA4A,HOXB5,CAST,CD9,CFL1,ATP5MC2,MGST1,NEAT1,GAGE1,IFIT3,RPL13A,PSMA7,PIK3IP1,HMGN3,BARX1,UBB,PSMA7,RPS29,SAT1
CCL7,UBB,TRAT1,TPX2,EMD,CXCL3,CLDN4,,UBB,CFL1,CRYAB,COL8A1,SPSB3,GABPB1-AS1,KLF6,CTTNBP2,UBB,MIR155HG,MYL12B,RPS21,KRT17
FUCA1,COL6A2,GALM,UBE2S,MTHFD2,XXYLT1-AS2,NEAT1,,S100A11,UQCRH,KRT14,DUSP2,SARAF,RPL13A,BCL2,DBI,NDC80,PPP1R15A,PRDX1,ZFAS1,IGHD
MT1G,CXCL11,RBM38,HOXC9,SLAMF1,ARL4A,TSPO,,PSMA7,DEK,EIF4A1,HSP90AA1,RPL36A,CXCR6,HSPA5,ARL6IP5,CLIC3,IL2RA,NNMT,YBX1,COX6C
ASAH1,RPS29,TAF1D,TYMS,SLC7A11,IGKC,RAN,,IL6,COTL1,KRT5,NFKBIA,CHIC2,CD48,,TUBB4B,HAP1,LGALS3,NDUFA4,NDUFS5,PLAU
MYL6,JUNB,LAPTM5,RPL39L,SRGN,MEOX1,TACSTD2,,FN1,EIF3G,MYL12B,RPS21,ATP5PD,TGFB1,,MAOB,CENPA,MT-CO1,HSPE1,UQCRH,CLDN4
SAMSN1,CTSK,CITED2,TK1,RPS10,HLA-DQB1,CLIC1,,NCL,TUBA1B,LDHB,HLA-DRB5,SLC12A2,CD7,,FOXP1,PCBD1,CXCL8,COX6C,TUBB,HSP90AB1
