names,scores,logfoldchanges,pvals,pvals_adj,pct_agg,pct_ctrl,cell_type
SEC61G,177.55156,243.32965,0,0,0.2109086,0.287307826,BC
SLPI,171.6067,15.817872,0,0,0.171065814,0.064732401,BC
MT2A,159.56415,51.43651,0,0,0.641569051,0.244451508,BC
CSAG1,154.92854,7.477474,0,0,0.157483046,0.128857935,BC
VOPP1,153.36684,10.621749,0,0,0.082498459,0.106779563,BC
RPL13A,152.24915,42.481358,0,0,0.321921239,0.204802913,BC
DEK,151.71562,16.581297,0,0,0.14278283,0.040226563,BC
MRPL4,151.00345,7.962453,0,0,0.201198366,0.151023003,BC
UPF3B,146.89067,5.5607185,0,0,0.345522503,0.484972836,BC
MRPS6,146.48741,8.257197,0,0,0.262715783,0.301468038,BC
SFRP1,142.11444,6.5337963,0,0,0.123555025,0.056062883,BC
RCN1,141.66682,5.636489,0,0,0.172973181,0.302912958,BC
IRAK1,141.46251,5.3313303,0,0,0.183145808,0.142931453,BC
MAGEA12,141.17943,7.045389,0,0,0.413108816,0.392324587,BC
PSPH,141.16313,5.707926,0,0,0.358623613,0.323604208,BC
CLTA,140.08655,13.504519,0,0,0.144112207,0.113397295,BC
CD44,139.80977,8.913928,0,0,0.509459772,0.287741302,BC
RBP1,139.69913,8.740682,0,0,0.404862824,0.229655531,BC
KRT81,139.27841,33.754345,0,0,0.111629162,0.096520633,BC
C8orf33,137.74918,5.4933634,0,0,0.818568896,0.602444804,BC
TMSB10,136.69159,57.928635,0,0,0.122399044,0.069760721,BC
HOMER3,135.98323,5.365534,0,0,0.158003237,0.059472893,BC
NDUFA1,134.16087,7.599966,0,0,0.059205456,0.207692752,BC
BCAP31,132.6629,6.875427,0,0,0.342767417,0.434920818,BC
PEG10,132.39977,5.030592,0,0,0.633053329,0.488007167,BC
CDKN2A,128.85284,5.0805044,0,0,0.191353268,0.133192694,BC
KCNN4,127.99919,3.5117276,0,0,0.381820284,0.304011097,BC
EIF2S2,125.53753,9.742673,0,0,0.266299322,0.167552884,BC
MED10,125.06326,4.784579,0,0,0.244836621,0.036527569,BC
CBX3,119.52622,6.9033356,0,0,0.995838471,0.988960814,BC
TCEAL4,117.8083,4.638478,0,0,0.989673243,0.990752514,BC
ISYNA1,115.88925,4.8251534,0,0,0.787762022,0.603196162,BC
NFIX,115.545296,3.500737,0,0,0.849684032,0.640966362,BC
WNT6,115.37163,5.7706013,0,0,0.135904747,0.088891458,BC
TLE4,114.78009,3.9880722,0,0,0.169986899,0.064356722,BC
RCAN1,113.69055,6.22972,0,0,0.381820284,0.276904404,BC
SLC1A3,113.00916,6.5674815,0,0,0.426653052,0.254652641,BC
TRIM56,108.694244,3.3420937,0,0,0.18239442,0.055484915,BC
HSP90AB1,104.768036,20.634579,0,0,0.186478884,0.074008785,BC
PCNA,104.5603,4.095088,0,0,0.106658446,0.028291527,BC
DDX21,103.76448,4.484068,0,0,0.31912762,0.294821408,BC
CASP14,103.65988,9.128536,0,0,0.327354346,0.148335453,BC
TPM1,102.46128,17.283272,0,0,0.2734086,0.061437984,BC
LCN2,102.320595,3.7358086,0,0,0.52225262,0.116316033,BC
SNU13,102.04543,7.1638427,0,0,0.535796856,0.157322853,BC
LSR,98.73374,3.1404288,0,0,0.63025971,0.708241822,BC
SNHG15,98.52451,3.870396,0,0,0.158138101,0.172696798,BC
RANBP1,97.622734,4.102175,0,0,0.242428329,0.201826378,BC
CRNDE,96.33985,4.1678257,0,0,0.152069205,0.030112126,BC
PPIA,95.993706,27.714045,0,0,0.204878237,0.195035256,BC
EGR1,95.95999,2.365311,0,0,0.153090321,0.168362039,BC
