pathway,pval,padj,log2err,ES,NES,size,leadingEdge
LIAO_METASTASIS,4.92102047445859e-30,2.60568034122582e-26,1.42456271623384,-0.82928536535493,-1.30865494127915,429,SORT1|KCTD2|RHOBTB1|MTMR2|MACROD2|EZH2|GXYLT2|TRPC1|HDAC1|NEIL3|GTPBP1|PKP4|WDFY2|BARD1|RHOQ|PRRC2B|UBAP2|ANXA2|STK39|JMY|FLCN|TMCC1|SLC25A36|GLDN|PHF21A|DDHD1|DLG5|PPP1R9A|DNAJA4|UBE2Q2|FARP1|CCDC97|ATIC|GABBR1|ACTN4|TCF3|CDK13|TOB2|PRRC2A|ASRGL1|ARHGAP4|PLAGL1|ECT2|NAV3|GPRC5B|HUNK|UBAP2L|LAMB1|SGSH|FBXO41|RRAGD|CBX6|BCAS4|ZIC2|LRPPRC|POMK|DMKN|MICALL1|CHML|CDCA7|DDOST|ZNF827|FAM110A|HMGA1|SOX9|RRP12|E2F1|FBLN1|TSHZ2|GCNT3|SNAP25|IRAK1|MAP7D2|TRIP10|MMP11|SPAG4|HKDC1|FBLIM1|NPAS2|KLHL29|TPM2|NRP1|DUSP22|HOXA5|BCL11A|TRAF5|PAFAH1B3|ZMYM3|PTPN14|ORAI2|BCORL1|MKNK1|CBX2|TECPR1|BAMBI|DENND1A|CKAP4|TRAPPC4|SPINT1-AS1|SPINT1|MARS1|NQO1|AEBP1|SOX4|IKZF4|PTGFRN|TMSB10|DHRS13|ANKRD10|ARHGEF1|KIAA0513|ANKRD46|PTK2|ZDHHC24|SOAT1|ITPR3|PIDD1|SMG5|TPD52L2|ZFP41|SH2B1|MIR210|NDOR1|CHD2|SLC52A2|ZNF532|COLEC12|WFIKKN1|PDE4C|SENCR|KCNQ1
MILI_PSEUDOPODIA_CHEMOTAXIS_DN,5.92227549654952e-26,1.56792243771149e-22,1.31888879607587,-0.834416231235996,-1.31493286153894,347,POGLUT2|TTC19|RCN3|SNX29|SNX14|ERH|GLA|ZDHHC5|CLCN6|MACO1|SERINC3|NRP2|CPSF7|HLA-A|PSAP|RANBP3|BCLAF1|ADRB2|TMEM109|TMPPE|C1R|NEDD4L|TRIM35|FN1|TRA2A|KCNQ1OT1|WWP2|HNRNPDL|GNS|PRNP|TCTN1|PTPRA|E4F1|NAGA|PPP1R10|GSPT1|LDLR|TAPBP|LMBRD1|FAM171A1|GPRC5B|SLC29A1|FZD7|NPC1|H3-3A|ADNP2|F3|APP|SLC7A6|ITPRIP|NAGLU|EPB41L2|SIGMAR1|CHPF2|DDOST|KCNN4|MED15|KLF3|BCL9|ABCA7|CD9|PTPRF|SLC16A1|PNPLA7|ELOVL1|TLN1|RAB5B|GPR108|MMP11|FIBP|AP2A2|NRP1|NOC2L|PCDH19|RPS10|GCN1|TXNDC5|RRBP1|COL16A1|MATN4|NONO|FAM53B|NEU1|MOGS|SLC35A2|CKAP4|SNHG3|SLC1A4|RNPS1|MPZL1|PFKL|SS18L1|UBTF|TIMP2|SBNO2|AKAP1|DIDO1|SPPL2A|ABHD12|THBS3|PHB2|CHST12|LAMC1|CHKA|SMG5|POLG|BRMS1|B4GAT1|TMEM43|ANGPTL2
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN,7.67616042234072e-25,1.35484231454314e-21,1.29512308741004,-0.824023274996128,-1.29949314186757,386,TET2|MGST3|HSP90B1|FRYL|TNRC6B|VPS36|ZNF664|TASOR|WAC|MACO1|GOLIM4|CHD9|BLTP2|PSMD12|NEK7|BCKDHA|PSAP|CLPTM1|PKP4|BCLAF1|GADD45G|FGFR1OP2|SNRPD3|H1-5|DDX6|MARCHF7|CALR|NFIX|ZNF644|ARF3|UPK3A|SKP1|KRAS|CDK2|AUTS2|ARHGAP10|NAT14|TCF3|SERTAD3|TOB2|HDAC4|TTC9C|HNRNPU|SF3B2|NR4A2|GSPT1|S1PR3|PDZD2|GSR|RSRC1|HOXA13|PTK7|RCOR1|UBAP2L|ADAM17|UBFD1|ADNP2|MOV10|APP|RNF122|CREBBP|PHETA1|SART1|STRN3|NOLC1|GPD2|DEK|TXLNA|SYMPK|MLLT3|CCNI|KLF3|BCL9|PFDN2|SOX9|DPYSL2|GBF1|UQCC2|LEF1|SMOC2|NOC2L|MYBBP1A|ANXA9|TIMM17B|RRP1|TNKS1BP1|ADIPOR1|MYO1B|TBC1D16|CLIC4|TAOK1|SPPL3|DHX36|CXXC1|PTGFRN|FKBP4|TIMP2|NRIP1|METTL3|CD2BP2|DOLPP1|RAD23A|MAP7D1|GYPC|PRRX1|CHD4|VANGL2|TCF20|NLGN3|SYT13|SAMD5|BTG1
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN,1.14871783209293e-22,1.52061523023302e-19,1.22950405660873,-0.839724398189703,-1.32205329338215,267,PPRC1|TTC17|PPP1R12C|CPSF7|SRRM2|CNTROB|KHSRP|RANBP3|DENND5A|ZNF202|APBA1|CALR|GGA1|LRCH4|NSUN4|AMPD2|PHF21A|SEMA6B|PICK1|ARHGAP30|GBA2|SMARCA4|HIRA|TCF3|PRRC2A|HNRNPU|ZNF646|HEYL|SFTPC|SLC52A3|SUV39H1|UBAP2L|BAZ1B|FBXO46|STK11|CCAR2|CMTR1|CACTIN|RNF214|MYPOP|MICALL1|CDC42EP1|MDN1|SYMPK|FKBP1A|FBXL19|ABCA7|SAFB2|CSNK1G2|FOXO4|TLN1|UQCC2|ACIN1|RHBG|SLC4A11|TPM2|RUNX3|FNBP4|IL17C|ATN1|USP21|NPM3|TRRAP|PTBP1|DPH7|MOGS|HCFC1|TECPR1|RBM14|SRRT|SNHG3|RCC1|DCAF8|RNPS1|LTB4R|MRPS25|SEMA6C|EHMT2|SETD1A|SBNO2|CDC42SE1|DENND4B|ZDHHC24|PBX2|CAPN15|TMEM259|SMG5|PIP5K1A|TEPSIN|DUOXA2|HIP1R|HPCA
ENK_UV_RESPONSE_EPIDERMIS_DN,5.05414864531581e-22,5.35234341538944e-19,1.21254456769062,-0.813745063845175,-1.28384739122692,428,MGST3|PPP3CA|NAP1L1|RTN3|F2R|RAB5A|TP53BP2|PSMB9|AFF4|KAT6B|GSTA4|ASAH1|PDGFC|ID4|FAM117A|IMPA2|INTS6|LIN7B|SLCO3A1|FYN|PLLP|DUSP10|RNF4|IL1R2|DDX21|QDPR|PPP2R2A|MT1X|SOS2|TIGAR|DNASE2|VAV3|HECA|EFS|SPTBN2|ACSL1|GAS6|UBL3|PTPRA|CORO1C|PIM1|BCL10|PTGER4|ADM|DNM1|NR4A2|GSPT1|LRRFIP1|EGLN1|GNA13|KRT16|PLAGL1|KIT|BMAL1|ATXN7|CTPS1|HDAC5|FZD7|COL5A3|CD83|CTSH|DDX10|F3|ADAMTS1|HK2|PHGDH|STX11|CHIC2|SH2D3A|HEBP1|SLC6A9|RYBP|KLF3|NOP53|PTPRF|FJX1|EIF2D|MAP3K8|UNG|IRF6|PNP|SCARB1|SPAG9|B4GALT5|TNFAIP3|ANXA9|FKBP8|ACAT1|SLC22A18|RRP1|BCL11A|UNC119|DDAH1|LZTFL1|PPAN|ARL4C|YAP1|RPL31|PDCD4|SH3GLB2|MAPKAPK2|SNAI2|RNPS1|BCL11B|KMT2A|TIMP2|UBE2H|PNRC1|IL6R|EGR3|GAB2|ISG20|EML2|EMP1|HIVEP2|DNASE1L2|OCA2|EHF|FZD10
DELACROIX_RARG_BOUND_MEF,4.43947121563736e-21,3.91783334779997e-18,1.18665095279281,-0.832101734591168,-1.31037782586273,282,RNF139|SKIL|SYNE3|KITLG|PSMD12|COQ10B|NDUFB10|RESF1|ZNRF2|PTTG1IP|PLCD3|RHOQ|CALR|PTPRS|MED9|FN1|UBE2C|AMPD2|PICK1|SLC35D1|ACADM|TCTN1|TSPAN9|TRAF3IP2|LNX2|DNM1|EPS8L2|PGPEP1|UBXN8|GSR|PALMD|NCK2|CSDC2|ALKBH7|IL34|HOXA13|CARD10|NID1|STK11|CTBP2|POLR3H|ARSA|ROCK2|ITGBL1|HMGA1|RPL13A|OSBPL3|ZNF574|GRIK5|RHOBTB2|BCL2L11|ATP11A|AP2A2|FTL|TPM2|DBNDD1|NRP1|ANXA9|OSR1|DMPK|RRP1|REX1BD|PSCA|PARP3|TIRAP|RPL19|CACNB1|PKN1|WNT1|YAP1|SLC25A51|TCP11L2|GPR146|AEBP1|TGIF2|ME3|PDLIM2|PLA2G6|ZNF319|METRN|FAIM2|LAMC1|CHKA|DUSP14|PIDD1|EPHB2|EMP1|SSTR4|HHATL|LOXL2|DOK4|HOOK2|NRN1
HSIAO_HOUSEKEEPING_GENES,5.353719088112e-21,4.04970608165044e-18,1.18665095279281,-0.826075490141933,-1.30155336905059,320,ARL6IP1|NAP1L1|ERH|CAPZA1|LDHA|RER1|CAP1|BUD31|HLA-A|HMGN2|HDAC1|PSAP|ARHGDIB|BCLAF1|PSMD7|PPIA|FYN|ANXA2|JOSD1|ARF3|CYB5R3|UBE2C|RBPMS|COMT|RPS2|PSMD8|ATIC|RPS28|ARHGAP1|RPL18A|RPS17|COX6B1|PIM1|H2AZ1|YWHAZ|PTPN6|RPS5|SF3B2|FCGRT|ANP32B|RPL21|H3-3A|LAMP1|VPS72|CES2|MARCKS|CSTB|ARPC2|FMOD|EEF1B2|FKBP1A|NDUFV2|CCNI|RPL13A|UBA52|DCTN2|PGAM1|XBP1|UQCRH|IQGAP1|ILK|IRAK1|PABPC1|RPL29|FTL|RPL32|PDLIM1|RPS10|RPL35A|NONO|UBA1|RPL19|RPL31|RPS11|RPS8|PFDN5|RPS15A|RPS25|SEPTIN2|RPS9|EIF4H|RPS26|TMSB10|FKBP4|COX6C|CD164|HYAL2|GSTP1|TRIM28|CALM2|RPL3|PHB2|YBX1|GLUL|SLC25A6|RPLP2|PI4KA|RPLP0|ENO1|ISG20|EEF1G|TLE5|HTRA1|CD81
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP,3.05891892497693e-20,2.0246219634691e-17,1.16017957183021,-0.802187085494344,-1.26574831780655,464,GPAT4|PMM1|DNM2|MTHFR|KCTD10|GPN3|FAM216A|STIM1|OGFRL1|SERINC3|CKAP2|WIPI1|PADI2|MORC4|CENPE|ALAS1|ZNRF2|JADE1|CD27|NAPA|ADRB2|NAA35|ANKRD17|ACAD11|DEPDC7|GSS|CITED4|FLCN|ICMT|AMPD2|NDUFA11|SESN2|RBM43|GNS|LRRC57|SRF|SLC66A3|SLC35A5|ATG3|HEXB|SLC27A1|LGALS9|IMPACT|LDLRAP1|INPP5B|FZD7|KCTD12|FZD5|EMP3|SDC1|CES2|EXTL1|IFI30|PSRC1|MAPK9|PADI3|PHGDH|CSTB|ADAM8|PERP|CDC25A|THYN1|ACAD8|KLHL22|FAM110A|DAXX|PTHLH|RNPEP|STOML2|EPHX1|ALDH4A1|E2F1|IRF6|MXD4|DOP1B|USP20|PNP|SCARB1|PPP1R15A|MAP1LC3A|CASQ2|UBALD2|RAB40C|PPP5C|NLRX1|BCL2L11|GPSM1|CXCR4|SH2D3C|PDLIM1|HOXA5|DMPK|TANGO2|ARVCF|PYGO2|LHX2|FAH|CLP1|LZTR1|RNF181|C11orf68|DPH7|SRXN1|TMEM41A|SH3GLB2|GPR146|TPRA1|MSRB1|COL18A1|ATP6V0B|ARMC7|PLA2G6|ANKRD10|HYAL2|IL6R|TMEM150A|HGSNAT|DRAM1|IFT27|ROM1|USP2|ST6GALNAC4|EDEM1|HSPA1B|TMEM38A|SMIM7|CARHSP1|TEPSIN|PKDCC|DEXI|ANGPTL2|ISLR|MASP1|HHATL|CRLF1|GPHA2|TPP1|LY6D|TMBIM1|ANGPT4
MASSARWEH_TAMOXIFEN_RESISTANCE_UP,7.79272960427261e-20,4.58472258384705e-17,1.15122052214226,-0.799570841055626,-1.26202541861251,499,VPS13B|MANSC1|SKIL|DENND4A|SMIM13|IER3|MACO1|PSMB8|IL1R1|FGD6|PDGFC|WIPI1|CDH11|TAPT1|FECH|SLC12A2|GADD45G|TENT5A|STN1|NFIX|NUDT4|RIPOR3|DNAJA4|TBC1D30|FHIP2A|ACSL1|GALNT12|TMEM8B|CYLD|ENC1|MIOS|SCARA3|PDZD2|BMAL1|PRICKLE2|SMPD1|KDELR3|PAX9|ZNF295-AS1|FCHSD2|LRPAP1|SDC1|ICA1|MFSD6|RNF144B|ZNF697|EPB41L2|ROCK2|PLEKHA7|HTR7P1|SLC41A2|LRRC1|FOXA3|KCNN4|ZNF827|KLF3|DIPK1A|RAB2A|TBC1D15|SRARP|MTURN|KCNMA1|LRRC8E|GRIN2D|CAMK2G|SH3BP4|RAB20|SIM2|SLC4A11|HOXA5|TXNDC5|LIX1L|ACAT1|NUAK1|FAM13A|TRAF5|PTPN14|ANK3|NIBAN1|SCYL3|MYO1B|YIPF1|IL13RA1|RAD18|GLTP|DOCK11|IGFBP5|PSAT1|BAMBI|CERK|TMEM131L|PIK3R3|PTGFRN|USB1|CD164|KIAA0513|TIMP2|HDLBP|DIDO1|MUC1|TOMM40L|PROM2|DRAM1|GNA12|PDXK|ADIRF|RAB1A|DLX1|SNAP29|SMIM7|GALNT1|EMP1|COLEC12|HS6ST2|TCEA3|MPPED1|NECTIN4|WNT3|PDGFRA
MOOTHA_HUMAN_MITODB_6_2002,1.88245856809911e-19,9.96761811808481e-17,1.14219120216838,-0.811375717275429,-1.27954781384331,386,NDUFC1|OXA1L|VDAC3|TFB1M|COX7A1|R3HCC1L|OGDH|TOMM40|BCKDHA|NRF1|HSPE1|ALAS1|FECH|MTHFD1|NBN|ABCB6|MRPL48|CYB5R3|PDHA1|DECR1|TXNRD2|PDK3|NDUFB4|AK2|HADH|SUCLG1|TK2|DNASE2|ACADM|SDHB|ACSL1|TXN2|NDUFA7|PTPRA|GALR3|ACO2|COX6B1|NDUFS2|BAX|GSR|SLC1A1|MRPL16|MDH2|PCK2|GPD2|FDX1|BCS1L|ACAD8|NDUFS1|BID|NDUFV2|MFN2|ALDH4A1|MUTYH|UQCRH|MRPL24|MRPS18B|NDUFB2|FIBP|BCL2L11|BCL2|TIMM17B|ACAT1|OAZ3|MRPL9|PYCR1|CYB5A|ME3|COX6C|SBNO2|GCAT|MTCH1|AKAP1|BAD|PPOX|RPL3|SLC25A11|RPLP2|POLG|OGG1|TUFM|TIMM13
MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN,2.48356735521874e-19,1.19549901326211e-16,1.13308993200902,-0.818089749505317,-1.28886360406518,328,MGST3|SNX14|RHOBTB1|FGF19|SKIL|FBXL3|WIPI1|VAPB|VMA21|FAR1|CLYBL|GADD45G|STIM2|TENT5A|CCNG2|ANKRD37|RIPOR3|CLN5|THOC7|DECR1|GLT8D1|RBM43|SOS2|CKLF|PRNP|ERRFI1|RFXANK|SLC66A3|CDK13|TMCO6|PIM1|C12orf57|HNRNPA3|HEXB|TAPBP|NCK2|SHOX2|APLN|ADCY7|KXD1|AMOT|IFI30|MARCKS|FLT3LG|EPB41L2|HEBP1|CHML|TMTC4|KLF3|DIPK1A|SERTAD4|NIT1|MUTYH|XBP1|PPP1R15A|UBALD2|BCL2L11|FBLIM1|BCL2|UNC93B1|AMDHD2|HOXA5|ACAT1|DSEL|CCN1|OAF|SMIM29|PFKL|GSTP1|EEF2K|RPL15|H1-0|PKP2|TMEM263|ORMDL2|PLEKHF1|ISG20|PTRH2|WFDC2|PPP1R35|LOXL2|SEPTIN4
BERENJENO_TRANSFORMED_BY_RHOA_UP,2.83157874610786e-19,1.24943412172009e-16,1.13308993200902,-0.796409645168288,-1.25683744747042,494,ARL14EP|NAA15|PPRC1|DIPK2A|CASP8AP2|RPRD1B|CISD1|KIF22|LDHA|IER3|CIP2A|EZH2|CKAP2|HSPA4L|GADD45A|HAUS6|TOMM40|TES|POLA1|CCT7|PKP4|ZNRF2|SNRPD3|SLCO3A1|NEDD4L|DDX21|STIP1|PUM3|SLC35D1|MACROH2A1|HAUS3|POLA2|ERRFI1|SSRP1|LIN9|ACTN4|SLC66A3|ANAPC15|CORO1C|H2AZ1|PTGER4|ADM|OTUD4|LRRFIP1|FAM171A1|BAX|GSR|RANGRF|CD44|ECT2|CDCA5|TNC|CTPS1|MRPL16|NID1|RAN|LY75|UTP4|HK2|GPD2|DEK|WDR43|CDCA7|PHC2|FAM110A|RRM1|SRM|NUP107|RRP12|PGAM1|E2F1|CACYBP|CCT3|PFDN6|RPL32|TNFAIP3|PDLIM1|POLR2E|SAE1|TIMELESS|NOP16|CCN1|MCM5|ARL4C|POLD1|PSAT1|RBM14|MCM2|RCC1|RNPS1|MRPS25|LBHD1|FKBP4|PFKL|CDC20|PSMA7|EMG1|NOP58|FRAT2|CHAF1B|NHP2|RAET1L|DNPH1|CD93|HTRA1|HIVEP2|TBL3|NGF
